,Tickets,Weights
0,AD.AS,0.1871389122610501
1,AIR.PA,8.94426134719073e-16
2,ASML.AS,0.07513768072891713
3,AZN.L,0.16720594733114855
4,BARC.L,1.8295911660692887e-19
5,BAS.DE,0.0
6,BMW.DE,4.988007619791124e-17
7,BNP.PA,5.348504842142554e-17
8,ENEL.MI,0.0
9,HSBA.L,0.19241559150902401
10,NESN.SW,0.0
11,NOVN.SW,0.09676861946651767
12,OR.PA,8.504210790433175e-18
13,SAN.PA,2.134523027080837e-17
14,SAP.DE,0.1880883639161278
15,SIE.DE,3.2390539903004445e-17
16,UNA.AS,0.09324488478721453
17,VOW3.DE,1.1196358840669098e-16
